id,trigger,conditions,script,text,options,notes
uwMarketAddOptionRestoreOrUpgrade,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
UW_RestoreOrUpgradeAvailable","SetTooltip uwMarketRestoreOrUpgrade ""$global.uwRestoreOrUpgradeTooltip""
SetTooltipHighlightColors uwMarketRestore buttonShortcut
SetTooltipHighlights uwMarketRestore $global.uwRestoreShip",,16:uwMarketRestoreOrUpgrade:$global.uwRestoreOrUpgradeStr $global.uwRestoreShip,
uwMarketOptionRestoreOrUpgradeMenu,DialogOptionSelected,$option == uwMarketRestoreOrUpgrade,"$menuState = uwRestoreOrUpgrade
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionRestoreOrUpgradeBack,UWPopulateRestoreOrUpgradeOptions,,SetShortcut uwRestoreOrUpgradeBack ESCAPE,,25:uwRestoreOrUpgradeBack:Back,
uwMarketRestoreOrUpgradeBack,DialogOptionSelected,$option == uwRestoreOrUpgradeBack,"$menuState = main 0
FireAll PopulateOptions",,,
uwMarketAddOptionRestore1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_RestoreAvailable
UW_RestoreEnoughCredits","SetTooltip uwMarketRestore ""Cleaing $global.uwRestoreModsStr d-mod from $global.uwRestoreShip requires $global.uwRestoreCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketRestore buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketRestore $global.uwRestoreShip $global.uwRestoreCostStr $player.creditsStr
UW_AddConfirmation uwMarketRestore ""Cleaing $global.uwRestoreModsStr d-mod from $global.uwRestoreShip requires $global.uwRestoreCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,1:uwMarketRestore:Clear a d-mod from the hull,
uwMarketAddOptionRestore2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_RestoreAvailable
!UW_RestoreEnoughCredits","SetTooltip uwMarketRestore ""Clearing $global.uwRestoreModsStr d-mod from $global.uwRestoreShip requires $global.uwRestoreCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketRestore buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketRestore $global.uwRestoreShip $global.uwRestoreCostStr $player.creditsStr
SetEnabled uwMarketRestore false",,1:uwMarketRestore:Clear a d-mod from the hull,
uwMarketOptionRestoreShip,DialogOptionSelected,$option == uwMarketRestore,"UW_RestoreShip
AddText ""$global.uwRestoreShip is $global.uwRestoreAfterStr by clearing $global.uwRestoreRemovedDMod from the hull, at the cost of $global.uwRestoreCostStr credits. $global.uwRestoreNumDModsStr""
SetTextHighlightColors hColor bad hColor hColor
SetTextHighlights $global.uwRestoreShip $global.uwRestoreRemovedDMod $global.uwRestoreCostStr $global.uwRestoreNumDModsStrHighlight
FireAll UWPopulateRestoreOrUpgradeOptions",,,
,,,,,,
,,,,,,
uwMarketAddOptionUpgradeU1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U1
UW_UpgradeEnoughCredits U1","SetTooltip uwMarketUpgradeU1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU1CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeU1 $global.uwUpgradeShip $global.uwUpgradeU1CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeU1 ""Installing a pair of built-in Borer Drone wings into $global.uwUpgradeShip requires $global.uwUpgradeU1CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,2:uwMarketUpgradeU1:Install a pair of built-in Borer Drone wings,
uwMarketAddOptionUpgradeU1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U1
!UW_UpgradeEnoughCredits U1","SetTooltip uwMarketUpgradeU1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU1CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeU1 $global.uwUpgradeShip $global.uwUpgradeU1CostStr $player.creditsStr
SetEnabled uwMarketUpgradeU1 false",,2:uwMarketUpgradeU1:Install a pair of built-in Borer Drone wings,
uwMarketOptionUpgradeU1,DialogOptionSelected,$option == uwMarketUpgradeU1,"UW_UpgradeShip U1
AddText ""Installed a pair of built-in Borer Drone wings into $global.uwUpgradeShip, at the cost of $global.uwUpgradeU1CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeU1CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeU2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U2
UW_UpgradeEnoughCredits U2","SetTooltip uwMarketUpgradeU2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU2CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeU2 $global.uwUpgradeShip $global.uwUpgradeU2CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeU2 ""Installing a built-in Operations Center into $global.uwUpgradeShip requires $global.uwUpgradeU2CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,3:uwMarketUpgradeU2:Install a built-in Operations Center,
uwMarketAddOptionUpgradeU2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U2
!UW_UpgradeEnoughCredits U2","SetTooltip uwMarketUpgradeU2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU2CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeU2 $global.uwUpgradeShip $global.uwUpgradeU2CostStr $player.creditsStr
SetEnabled uwMarketUpgradeU2 false",,3:uwMarketUpgradeU2:Install a built-in Operations Center,
uwMarketOptionUpgradeU2,DialogOptionSelected,$option == uwMarketUpgradeU2,"UW_UpgradeShip U2
AddText ""Installed a built-in Operations Center into $global.uwUpgradeShip, at the cost of $global.uwUpgradeU2CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeU2CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeU3_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U3
UW_UpgradeEnoughCredits U3","SetTooltip uwMarketUpgradeU3 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU3CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU3 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeU3 $global.uwUpgradeShip $global.uwUpgradeU3CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeU3 ""Installing a built-in Hellfire Cannon into $global.uwUpgradeShip requires $global.uwUpgradeU3CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,4:uwMarketUpgradeU3:Install a built-in Hellfire Cannon,
